,Date,Region,Confirmed,Deaths,Recovered
549,02/14/2020,Mainland China,66292,1520,7973
550,02/14/2020,Malaysia,19,0,3
551,02/14/2020,Nepal,1,0,1
552,02/14/2020,Others,218,0,0
553,02/14/2020,Philippines,3,1,1
554,02/14/2020,Russia,2,0,2
555,02/14/2020,Singapore,67,0,17
556,02/14/2020,South Korea,28,0,7
557,02/14/2020,Spain,2,0,0
558,02/14/2020,Sri Lanka,1,0,1
559,02/14/2020,Sweden,1,0,0
560,02/14/2020,Taiwan,18,0,2
561,02/14/2020,Thailand,33,0,12
562,02/14/2020,UK,9,0,1
563,02/14/2020,US,15,0,3
564,02/14/2020,United Arab Emirates,8,0,1
565,02/14/2020,Vietnam,16,0,7
566,02/15/2020,Australia,15,0,8
567,02/15/2020,Belgium,1,0,0
568,02/15/2020,Cambodia,1,0,1
569,02/15/2020,Canada,7,0,1
570,02/15/2020,Egypt,1,0,0
571,02/15/2020,Finland,1,0,1
572,02/15/2020,France,12,1,4
573,02/15/2020,Germany,16,0,1
574,02/15/2020,Hong Kong,56,1,1
575,02/15/2020,India,3,0,0
576,02/15/2020,Italy,3,0,0
577,02/15/2020,Japan,43,1,12
578,02/15/2020,Macau,10,0,3
579,02/15/2020,Mainland China,68347,1662,9294
580,02/15/2020,Malaysia,22,0,7
581,02/15/2020,Nepal,1,0,1
582,02/15/2020,Others,285,0,0
583,02/15/2020,Philippines,3,1,1
584,02/15/2020,Russia,2,0,2
585,02/15/2020,Singapore,72,0,18
586,02/15/2020,South Korea,28,0,9
587,02/15/2020,Spain,2,0,2
588,02/15/2020,Sri Lanka,1,0,1
589,02/15/2020,Sweden,1,0,0
590,02/15/2020,Taiwan,18,0,2
591,02/15/2020,Thailand,33,0,12
592,02/15/2020,UK,9,0,1
593,02/15/2020,US,15,0,3
594,02/15/2020,United Arab Emirates,8,0,3
595,02/15/2020,Vietnam,16,0,7
596,02/16/2020,Australia,15,0,8
597,02/16/2020,Belgium,1,0,0
598,02/16/2020,Cambodia,1,0,1
599,02/16/2020,Canada,7,0,1
600,02/16/2020,Egypt,1,0,0
601,02/16/2020,Finland,1,0,1
602,02/16/2020,France,12,1,4
603,02/16/2020,Germany,16,0,1
604,02/16/2020,Hong Kong,57,1,2
605,02/16/2020,India,3,0,3
606,02/16/2020,Italy,3,0,0
607,02/16/2020,Japan,59,1,12
608,02/16/2020,Macau,10,0,5
609,02/16/2020,Mainland China,70446,1765,10748
610,02/16/2020,Malaysia,22,0,7
611,02/16/2020,Nepal,1,0,1
612,02/16/2020,Others,355,0,0
613,02/16/2020,Philippines,3,1,1
614,02/16/2020,Russia,2,0,2
615,02/16/2020,Singapore,75,0,18
616,02/16/2020,South Korea,29,0,9
617,02/16/2020,Spain,2,0,2
618,02/16/2020,Sri Lanka,1,0,1
619,02/16/2020,Sweden,1,0,0
620,02/16/2020,Taiwan,20,1,2
621,02/16/2020,Thailand,34,0,14
622,02/16/2020,UK,9,0,8
623,02/16/2020,US,15,0,3
624,02/16/2020,United Arab Emirates,9,0,4
625,02/16/2020,Vietnam,16,0,7
626,02/17/2020,Australia,15,0,10
627,02/17/2020,Belgium,1,0,1
628,02/17/2020,Cambodia,1,0,1
629,02/17/2020,Canada,8,0,1
630,02/17/2020,Egypt,1,0,0
631,02/17/2020,Finland,1,0,1
632,02/17/2020,France,12,1,4
633,02/17/2020,Germany,16,0,1
634,02/17/2020,Hong Kong,60,1,2
635,02/17/2020,India,3,0,3
636,02/17/2020,Italy,3,0,0
637,02/17/2020,Japan,66,1,12
638,02/17/2020,Macau,10,0,5
639,02/17/2020,Mainland China,72364,1863,12455
640,02/17/2020,Malaysia,22,0,7
641,02/17/2020,Nepal,1,0,1
642,02/17/2020,Others,454,0,0
643,02/17/2020,Philippines,3,1,1
644,02/17/2020,Russia,2,0,2
645,02/17/2020,Singapore,77,0,24
646,02/17/2020,South Korea,30,0,10
647,02/17/2020,Spain,2,0,2
648,02/17/2020,Sri Lanka,1,0,1
649,02/17/2020,Sweden,1,0,0
650,02/17/2020,Taiwan,22,1,2
651,02/17/2020,Thailand,35,0,15
652,02/17/2020,UK,9,0,8
653,02/17/2020,US,15,0,3
654,02/17/2020,United Arab Emirates,9,0,4
655,02/17/2020,Vietnam,16,0,7
656,02/18/2020,Australia,15,0,10
657,02/18/2020,Belgium,1,0,1
658,02/18/2020,Cambodia,1,0,1
659,02/18/2020,Canada,8,0,1
660,02/18/2020,Egypt,1,0,0
661,02/18/2020,Finland,1,0,1
662,02/18/2020,France,12,1,4
663,02/18/2020,Germany,16,0,12
664,02/18/2020,Hong Kong,62,1,2
665,02/18/2020,India,3,0,3
666,02/18/2020,Italy,3,0,0
667,02/18/2020,Japan,74,1,13
668,02/18/2020,Macau,10,0,5
669,02/18/2020,Mainland China,74139,2002,14199
670,02/18/2020,Malaysia,22,0,13
671,02/18/2020,Nepal,1,0,1
672,02/18/2020,Others,542,0,0
673,02/18/2020,Philippines,3,1,1
674,02/18/2020,Russia,2,0,2
675,02/18/2020,Singapore,81,0,29
676,02/18/2020,South Korea,31,0,12
677,02/18/2020,Spain,2,0,2
678,02/18/2020,Sri Lanka,1,0,1
679,02/18/2020,Sweden,1,0,0
680,02/18/2020,Taiwan,22,1,2
681,02/18/2020,Thailand,35,0,15
682,02/18/2020,UK,9,0,8
683,02/18/2020,US,15,0,3
684,02/18/2020,United Arab Emirates,9,0,4
685,02/18/2020,Vietnam,16,0,7
686,02/19/2020,Australia,15,0,10
687,02/19/2020,Belgium,1,0,1
688,02/19/2020,Cambodia,1,0,1
689,02/19/2020,Canada,8,0,1
690,02/19/2020,Egypt,1,0,0
691,02/19/2020,Finland,1,0,1
692,02/19/2020,France,12,1,4
693,02/19/2020,Germany,16,0,12
694,02/19/2020,Hong Kong,63,2,5
695,02/19/2020,India,3,0,3
696,02/19/2020,Iran,2,2,0
697,02/19/2020,Italy,3,0,0
